Year;PP;PP.min;PP.max;Herb.Zoopk;Herb.Zoopk.min;Herb.Zoopk.max;Omni.Zoopk;Omni.Zoopk.min;OmniZoopk.max;Benthos;Benthos.min;Benthos.max;Pelagics;Pelagics.min;Pelagics.max;Demersals;Demersals.min;Demersals.max;Mammals;Mammals.min;Mammals.max;Birds;Birds.min;Birds.max
1988;1000000;800000;1500000;16608;6643;41520;3664;2198;5862;105000;63000;157500;576;461;720;1472;1178;1840;560;336;840;11;6;22
1989;1000000;800000;1500000;27872;11149;69680;8448;5069;13517;105000;63000;157500;1200;960;1500;1376;1101;1720;560;336;840;11;6;22
1990;1000000;800000;1500000;23504;9402;58760;6272;3763;10035;105000;63000;157500;6304;5043;7880;1392;1114;1740;560;336;840;11;6;22
1991;1000000;800000;1500000;21776;8710;54440;5392;3235;8627;105000;63000;157500;8304;6643;10380;2112;1690;2640;560;336;840;11;6;22
1992;1000000;800000;1500000;26816;10726;67040;6016;3610;9626;105000;63000;157500;7232;5786;9040;2976;2381;3720;560;336;840;11;6;22
1993;1000000;800000;1500000;37440;14976;93600;10624;6374;16998;105000;63000;157500;3776;3021;4720;3728;2982;4660;560;336;840;11;6;22
1994;1000000;800000;1500000;71408;28563;178520;10624;6374;16998;105000;63000;157500;2368;1894;2960;3648;2918;4560;560;336;840;11;6;22
1995;1000000;800000;1500000;57296;22918;143240;8624;5174;13798;105000;63000;157500;1136;909;1420;3440;2752;4300;560;336;840;11;6;22
1996;1000000;800000;1500000;38752;15501;96880;9312;5587;14899;105000;63000;157500;1184;947;1480;3584;2867;4480;560;336;840;11;6;22
1997;1000000;800000;1500000;45024;18010;112560;12800;7680;20480;105000;63000;157500;1584;1267;1980;3360;2688;4200;560;336;840;11;6;22
1998;799241;639392;1198861;40496;16198;101240;11488;6893;18381;105000;63000;157500;3216;2573;4020;3072;2458;3840;560;336;840;11;6;22
1999;747074;597659;1120611;35008;14003;87520;8272;4963;13235;105000;63000;157500;4960;3968;6200;3008;2406;3760;560;336;840;11;6;22
2000;1052787;842229;1579180;41616;16646;104040;8624;5174;13798;105000;63000;157500;7088;5670;8860;2928;2342;3660;560;336;840;11;6;22
2001;1170273;936218;1755409;31168;12467;77920;6272;3763;10035;105000;63000;157500;6272;5018;7840;3456;2765;4320;560;336;840;11;6;22
2002;1109195;887356;1663792;35088;14035;87720;8880;5328;14208;105000;63000;157500;3904;3123;4880;3904;3123;4880;560;336;840;11;6;22
2003;874725;699780;1312087;31776;12710;79440;9760;5856;15616;105000;63000;157500;2304;1843;2880;4000;3200;5000;560;336;840;11;6;22
2004;1071635;857308;1607452;36480;14592;91200;13056;7834;20890;105000;63000;157500;4992;3994;6240;4016;3213;5020;560;336;840;11;6;22
2005;909011;727209;1363516;41616;16646;104040;6960;4176;11136;105000;63000;157500;4816;3853;6020;4128;3302;5160;560;336;840;11;6;22
2006;1096430;877144;1644645;45808;18323;114520;9408;5645;15053;105000;63000;157500;4656;3725;5820;3872;3098;4840;560;336;840;11;6;22
2007;946827;757461;1420240;39184;15674;97960;6272;3763;10035;105000;63000;157500;4224;3379;5280;4192;3354;5240;560;336;840;11;6;22
2008;872084;697667;1308126;35360;14144;88400;6272;3763;10035;105000;63000;157500;6064;4851;7580;4784;3827;5980;560;336;840;11;6;22
2009;931335;745068;1397003;33520;13408;83800;3920;2352;6272;105000;63000;157500;5056;4045;6320;5392;4314;6740;560;336;840;11;6;22
2010;1129906;903925;1694859;37616;15046;94040;4096;2458;6554;105000;63000;157500;5344;4275;6680;6256;5005;7820;560;336;840;11;6;22
2011;1232388;985910;1848582;32048;12819;80120;5568;3341;8909;105000;63000;157500;4880;3904;6100;6016;4813;7520;560;336;840;11;6;22
2012;1108071;886457;1662106;41104;16442;102760;4352;2611;6963;105000;63000;157500;4448;3558;5560;5776;4621;7220;560;336;840;11;6;22
2013;1190710;952568;1786066;31088;12435;77720;3488;2093;5581;105000;63000;157500;4928;3942;6160;5568;4454;6960;560;336;840;11;6;22
